date,close,open,high,low,volume,change
2018年6月11日,775.73,776.05,786,768.33,3.65M,-0.29%
2018年6月8日,777.95,780,785.9,770,3.50M,-0.39%
2018年6月7日,780.97,789.98,795.55,778.9,3.92M,-0.61%
2018年6月6日,785.75,788,800.95,782.3,4.90M,-0.29%
2018年6月5日,788.05,786.5,794.7,777.23,5.26M,0.78%
2018年6月4日,781.97,752.35,782.9,745.88,7.38M,4.95%
2018年6月1日,745.11,751.13,754.98,738.76,3.62M,-0.80%
2018年5月31日,751.13,730.25,751.62,730.24,7.19M,3.48%
2018年5月30日,725.87,727.22,737.3,720.05,3.71M,-0.76%
2018年5月29日,731.43,738.8,750,731.28,4.08M,-1.21%
2018年5月28日,740.4,718,740.66,715.12,4.28M,3.28%
2018年5月25日,716.86,712,727,712,2.65M,0.20%
2018年5月24日,715.4,720,728.66,713,3.04M,-1.16%
2018年5月23日,723.78,740,740,723.58,2.83M,-2.14%
2018年5月22日,739.57,735.22,739.84,730.02,1.70M,0.65%
2018年5月21日,734.82,744,747.3,732.48,2.91M,-0.61%
2018年5月18日,739.32,723.99,741,721.19,2.93M,1.64%
2018年5月17日,727.38,735.12,737.5,724,2.85M,-0.97%
2018年5月16日,734.52,740,745.66,733.28,3.08M,-1.15%
2018年5月15日,743.06,746,746.44,734,3.81M,0.09%
2018年5月14日,742.41,724,743,724,5.10M,3.40%
2018年5月11日,718.02,718.69,730.5,715.7,3.91M,0.54%
2018年5月10日,714.19,703.5,716,703.5,3.93M,1.74%
2018年5月9日,701.95,709.08,712.3,697.12,3.23M,-0.97%
2018年5月8日,708.83,698.03,712.13,698.03,6.25M,1.53%
2018年5月7日,698.17,659.95,701.88,657.77,8.56M,5.33%
2018年5月4日,662.87,670.98,674.83,660.57,3.74M,-1.19%
2018年5月3日,670.88,666,673.68,658,3.63M,0.46%
2018年5月2日,667.83,660,668.99,645.06,7.03M,0.80%
2018年4月27日,662.53,685.25,688.36,655,5.79M,-2.31%
2018年4月26日,678.23,692,692.28,673,3.50M,-1.84%
2018年4月25日,690.97,689,692,683.02,2.53M,0.16%
2018年4月24日,689.88,676,693.5,675,4.73M,2.35%
2018年4月23日,674.01,666.01,680.33,666.01,3.27M,0.56%
2018年4月20日,670.26,681,694,668.23,4.15M,-1.43%
2018年4月19日,679.96,659.85,680,656.66,4.42M,3.71%
2018年4月18日,655.64,671,671,645,6.26M,-1.59%
2018年4月17日,666.2,685,685.38,665.6,3.52M,-2.23%
2018年4月16日,681.38,680.58,686.85,677,3.29M,-0.80%
2018年4月13日,686.86,698.5,701,685.08,2.75M,-1.06%
2018年4月12日,694.2,704,706.88,692.22,3.07M,-1.58%
